,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2749,"magical unicorns[love,wealth] (not found on shopify)",healing crystal trees (not found on shopify),,,,,,,,,,,,,,,,,,,
2750,"wisdom  - shopee exclusive crystal bracelet [wisdom,wealth] (not found on shopify)","magical unicorns[love,wealth] (not found on shopify)",charoite solitaire (love and mental wellness),"happiness crystal bracelet [positivity,wisdom] (not found on shopify)",,,,,,,,,,,,,,,,,
2751,"magical unicorns[love,wealth] (not found on shopify)",water-hue jade x pearl tri necklace (restocked) (not found on shopify),,,,,,,,,,,,,,,,,,,
2752,"magical unicorns[love,wealth] (not found on shopify)",charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,,
2753,rainbow dream (madeat6pm x jam.stones special collaboration ) (not found on shopify),charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,,
2754,"magical unicorns[love,wealth] (not found on shopify)","sugar and spice (love, weight-loss and wisdom) (not found on shopify)",,,,,,,,,,,,,,,,,,,
2755,"mermaid dream crystal bracelet (madeat6pm x jam.stones special collaboration )[love,wisdom] (not found on shopify)","sugar and spice (love, weight-loss and wisdom) (not found on shopify)",,,,,,,,,,,,,,,,,,,
2756,white sage pack (not found on shopify),rainbow dream (madeat6pm x jam.stones special collaboration ) (not found on shopify),charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,
2757,"mermaid dream crystal bracelet (madeat6pm x jam.stones special collaboration )[love,wisdom] (not found on shopify)",charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,,
2758,lana 2.0  (madeat6pm x jam.stones special collaboration ) (not found on shopify),charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,,
2759,water-hue jade x pearl tri necklace (restocked) (not found on shopify),charm stacker crystal bracelet (not found on shopify),,,,,,,,,,,,,,,,,,,
2760,"magical unicorns[love,wealth] (not found on shopify)","mermaid dream crystal bracelet (madeat6pm x jam.stones special collaboration )[love,wisdom] (not found on shopify)",,,,,,,,,,,,,,,,,,,
2761,purple chalcedony heart ring (silver/rose gold),rose quartz heart ring (silver/rose gold),london topaz heart ring (silver/rose gold),dazzling morganite ring in emerald cut *premium*,,,,,,,,,,,,,,,,,
2762,14mm blue lace agate,purple chalcedony 12mm,12mm clear quartz faceted bracelet,amazonite loose beads,spacer,bej,,,,,,,,,,,,,,,
2763,"luck (jade, calmness, healing, luck, wisdom, protection)","sugar 2.0 (love, wealth and weight-loss)",,,,,,,,,,,,,,,,,,,
2764,larimar blue sheen moonstone necklace,small selenite tower,,,,,,,,,,,,,,,,,,,
2765,"zelda crystal bracelet [ protection, strength and positivity ] (not found on shopify)",custom zelda (not found on shopify),,,,,,,,,,,,,,,,,,,
2766,water-hue jade x pearl tri necklace (restocked) (not found on shopify),lavender rose quartz pearl tri necklace (not found on shopify),,,,,,,,,,,,,,,,,,,
2767,"tri-pearl moonstone necklace (happiness, peace and healing)",candice ( strawberry quartz),,,,,,,,,,,,,,,,,,,
2768,"sugar & spice necklace (love, wealth and weight-loss) (not found on shopify)",citrine geometric tri pearl necklace,love  - shopee exclusive crystal bracelet [love & communication] (not found on shopify),dainty crystal bracelets ( cool ) (not found on shopify),,,,,,,,,,,,,,,,,
2769,"babylon (wealth, career, networking)",satin (peace & love),,,,,,,,,,,,,,,,,,,
2770,"valencia ( wealth, career, weight loss and positivity)","rae 2.0 [luck, protection and fortune]",,,,,,,,,,,,,,,,,,,
2771,"sugar & spice necklace (love, wealth and weight-loss)","sunny sun (calmness, wisdom)","tri-pearl moonstone necklace (happiness, peace and healing)",jewel in a box restocked 4,,,,,,,,,,,,,,,,,
2772,small selenite tower (not found on shopify),lavender rose quartz pearl tri necklace (not found on shopify),clover ring (not found on shopify),,,,,,,,,,,,,,,,,,
2773,"wisdom  - shopee exclusive crystal bracelet [wisdom,wealth] (not found on shopify)","calmness  - shopee exclusive crystal bracelet [calmness,wisdom] (not found on shopify)",,,,,,,,,,,,,,,,,,,
2774,"athens ( wealth, career, women’s health and positivity)","rae 2.0 [luck, protection and fortune]",,,,,,,,,,,,,,,,,,,
2775,dainty bracelets ( cool ),"dream (strength, peace and creativity)",,,,,,,,,,,,,,,,,,,
2776,blue tiger eye tri pearl necklace,"ailena (jade, calmness, love, luck, wisdom, protection)","kendra ( wealth, love & luck)",,,,,,,,,,,,,,,,,,
2777,jewel in a box restocked 4 crystal bracelet [wisdom] (not found on shopify),"calmness  - shopee exclusive crystal bracelet [calmness,wisdom] (not found on shopify)",,,,,,,,,,,,,,,,,,,
